id,name,categories,latitude,longitude,state,college,distance_from_college,rating,review_count,permanently_closed,TakesReservations,Delivery,Take-out,AcceptsCreditCards,AcceptsBitcoin,GoodFor,Parking,BikeParking,WheelchairAccessible,GoodforKids,GoodforGroups,Attire,Ambience,NoiseLevel,Alcohol,OutdoorSeating,Wi-Fi,HasTV,DogsAllowed,WaiterService,Caters,Drive-Thru,Price
little-caesars-pizza-west-lafayette,Little Caesars Pizza,['pizza'],40.4690699299009,-86.9443932880634,IN,"610 Purdue Mall, West Lafayette, IN 47907",5201.095775875877,4.0,2,False,No,No,Yes,Yes,,,,,,Yes,Yes,Casual,,Quiet,,No,,No,,,,,1
monicals-pizza-lafayette,Monical's Pizza,"['pizza', 'italian']",40.3950881,-86.8496597,IN,"610 Purdue Mall, West Lafayette, IN 47907",6605.244649465762,4.5,14,False,Yes,Yes,Yes,Yes,,"Lunch, Dinner",Private Lot,,Yes,Yes,Yes,Casual,,Quiet,Beer & Wine Only,No,No,Yes,,Yes,,,2
chick-fil-a-lafayette,Chick-fil-A,['hotdogs'],40.418279285782006,-86.83549401089199,IN,"610 Purdue Mall, West Lafayette, IN 47907",6769.959318410064,4.0,32,False,No,No,Yes,Yes,,Lunch,Private Lot,No,Yes,Yes,Yes,Casual,Casual,Average,No,No,Free,No,,No,Yes,Yes,1
hooters-lafayette-2,Hooters,"['sportsbars', 'tradamerican', 'chicken_wings']",40.3938049077988,-86.8549154698849,IN,"610 Purdue Mall, West Lafayette, IN 47907",6389.355191307584,2.5,6,False,Yes,No,Yes,Yes,,Lunch,,No,Yes,Yes,Yes,Casual,,,Beer & Wine Only,Yes,,Yes,,,,,3
long-john-silvers-lafayette,Long John Silver's,['seafood'],40.395111,-86.863899,IN,"610 Purdue Mall, West Lafayette, IN 47907",5643.297489285435,5.0,1,False,No,No,Yes,Yes,,,,,,Yes,Yes,Casual,,Average,No,No,,No,,No,,,1
pizza-hut-lafayette-5,Pizza Hut,"['pizza', 'italian', 'chicken_wings']",40.418156,-86.852707,IN,"610 Purdue Mall, West Lafayette, IN 47907",5340.511874745328,3.5,4,False,No,Yes,Yes,Yes,,,,,,Yes,Yes,Casual,,Loud,,No,,No,,Yes,Yes,,2
pizza-king-lafayette-8,Pizza King,['pizza'],40.4531990736723,-86.918019130826,IN,"610 Purdue Mall, West Lafayette, IN 47907",2789.578716239685,2.0,1,False,No,,Yes,Yes,,,,,,No,No,Casual,,Average,No,No,No,No,,No,,,1
papa-johns-pizza-lafayette-3,Papa John's Pizza,['pizza'],40.433328835026,-86.8694777537623,IN,"610 Purdue Mall, West Lafayette, IN 47907",3843.270993807955,1.5,2,False,,,,,,,,,,,No,,,,No,No,,No,,,,,2
burger-king-lafayette-12,Burger King,"['hotdog', 'burgers']",40.395924,-86.868797,IN,"610 Purdue Mall, West Lafayette, IN 47907",5274.4123263772735,1.0,3,False,No,No,Yes,Yes,,,,No,,Yes,No,Casual,,Average,No,No,,No,,No,No,Yes,2
golden-corral-lafayette-2,Golden Corral,"['chinese', 'buffets']",40.4196281,-86.8453217,IN,"610 Purdue Mall, West Lafayette, IN 47907",5881.558102988918,3.5,8,False,Yes,No,No,Yes,,"Lunch, Dinner",Private Lot,,Yes,Yes,Yes,Casual,Casual,Loud,No,No,No,No,,Yes,,,2
en-lai-chinese-kitchen-lafayette-2,En Lai Chinese Kitchen,['chinese'],40.413528,-86.839434,IN,"610 Purdue Mall, West Lafayette, IN 47907",6552.988130482434,2.5,13,False,No,Yes,Yes,Yes,,,,,Yes,Yes,Yes,Casual,,Quiet,No,No,Free,No,,No,Yes,,1
fazolis-lafayette,Fazoli's,['italian'],40.416938,-86.853546,IN,"610 Purdue Mall, West Lafayette, IN 47907",5431.694478874257,3.5,5,False,No,No,Yes,Yes,,,Private Lot,,,Yes,Yes,Casual,,Average,No,No,,No,,No,No,,1
logans-roadhouse-lafayette-2,Logan's Roadhouse,"['steak', 'bbq', 'tradamerican']",40.418259,-86.834348,IN,"610 Purdue Mall, West Lafayette, IN 47907",6866.044233524643,2.5,26,False,No,No,Yes,Yes,,Dinner,Private Lot,,Yes,Yes,Yes,Casual,Casual,Average,Full Bar,No,No,Yes,,Yes,,,2
pizza-king-lafayette-4,Pizza King,['pizza'],40.394676,-86.882599,IN,"610 Purdue Mall, West Lafayette, IN 47907",4601.924207300108,3.5,12,False,No,No,Yes,Yes,,Lunch,Private Lot,Yes,Yes,Yes,Yes,Casual,,Average,No,No,Free,Yes,,No,Yes,,2
panera-bread-lafayette,Panera Bread,"['sandwiches', 'salad', 'soup']",40.3922386,-86.8532181,IN,"610 Purdue Mall, West Lafayette, IN 47907",6663.506802550785,4.5,8,False,No,No,Yes,Yes,,Breakfast,Private Lot,Yes,Yes,Yes,Yes,Casual,,Average,No,Yes,Free,No,,No,Yes,,1
